session_id,timestamp,user_name,user_dob,session_duration,selected_category,user_msg_count,bot_msg_count,feedback,detailed_feedback
aec35cc2-b98c-48f8-bac1-a7fec55c409b,2023-01-24 08:15:57,User469,1991-8-9,0:1:0,lifestyle,3,3,good,Impressed by the bot's knowledge about MTL Blog.
a7298ca1-1704-446e-8e17-3ebbb2b6d944,2022-09-02 14:03:57,User924,2003-5-17,0:43:45,eat-drink,3,4,bad,The bot was a bit confusing at times.
2fd73125-5e17-41ef-bc33-56a080042323,2023-03-09 13:40:57,User452,1985-8-8,0:8:7,eat-drink,4,2,good,Impressed by the bot's knowledge about MTL Blog.
7fa93731-0e0e-41e8-862c-14147c64cc4b,2022-10-17 05:07:57,User489,1984-5-23,0:35:4,news,8,1,good,The bot provided accurate answers.
b9871108-8919-4fcf-a45e-ec78ecae2354,2022-10-08 06:33:57,User895,1986-3-11,0:3:45,money,5,5,good,Smooth and pleasant interaction with the chatbot.
c4a5dc38-ac8f-454d-8b9f-8ddf0e70f431,2023-01-14 13:16:57,User42,1989-4-1,0:52:39,eat-drink,3,2,good,Smooth and pleasant interaction with the chatbot.
7024e0b1-80fc-49e6-8cda-40f78727a5c9,2022-09-21 13:30:57,User593,1990-12-14,0:43:12,real-estate,5,4,good,The chatbot was very helpful and informative.
6f774b72-f68b-490f-8792-4c92da070efb,2022-08-31 14:58:57,User341,1992-7-21,0:23:7,sports,4,1,good,Smooth and pleasant interaction with the chatbot.
5a7fcd30-a09d-4baa-a17e-d5d9e5d2eee2,2023-05-23 12:33:57,User634,1992-5-9,0:30:30,eat-drink,5,1,bad,Didn't get the answer I was looking for.
4b651145-5f71-4830-91ad-a290028c8d05,2022-11-12 06:29:57,User909,1999-8-16,0:16:12,sports,1,3,good,Impressed by the bot's knowledge about MTL Blog.
540576bf-e197-46a7-924f-ec7d40c71be7,2023-07-17 16:25:57,User542,1986-11-1,0:8:6,news,4,2,good,Great experience navigating through MTL news.
34f5eb39-6b41-4a41-ad21-bdca7c1cd348,2022-10-08 08:45:57,User499,1990-10-3,0:25:48,eat-drink,6,1,good,The chatbot was very helpful and informative.
7df78942-b6fd-42ef-ab71-5157e23839ec,2023-04-05 22:11:57,User973,1994-5-12,0:29:21,lifestyle,3,5,bad,Didn't get the answer I was looking for.
92a00cf7-3826-481f-b612-d2c74f0694ca,2022-12-18 03:39:57,User944,2002-8-12,0:27:53,eat-drink,1,5,good,The chatbot was very helpful and informative.
